Year;Month;Value;Part
1993;1;322;7,5
1993;2;315;7,3
1993;3;302;7,1
1993;4;329;7,7
1993;5;322;7,5
1993;6;402;9
1993;7;435;9,6
1993;8;411;9,4
1993;9;376;8,7
1993;10;363;8,5
1993;11;357;8,4
1993;12;339;8
1994;1;371;8,8
1994;2;344;8,3
1994;3;327;7,8
1994;4;310;7,4
1994;5;296;7,1
1994;6;375;8,5
1994;7;395;8,8
1994;8;383;8,8
1994;9;346;8,1
1994;10;314;7,4
1994;11;304;7,2
1994;12;315;7,4
1995;1;349;8,2
1995;2;321;7,6
1995;3;318;7,6
1995;4;307;7,2
1995;5;292;6,8
1995;6;363;8,2
1995;7;376;8,3
1995;8;356;8
1995;9;339;7,9
1995;10;327;7,6
1995;11;309;7,2
1995;12;332;7,8
1996;1;347;8,1
1996;2;327;7,7
1996;3;314;7,4
1996;4;318;7,5
1996;5;300;7,1
1996;6;371;8,4
1996;7;397;8,8
1996;8;396;9
1996;9;354;8,3
1996;10;326;7,6
1996;11;336;7,9
1996;12;371;8,7
1997;1;375;8,8
1997;2;372;8,8
1997;3;355;8,4
1997;4;350;8,3
1997;5;329;7,8
1997;6;391;8,8
1997;7;408;9,1
1997;8;371;8,5
1997;9;310;7,3
1997;10;286;6,8
1997;11;272;6,5
1997;12;289;6,9
1998;1;306;7,4
1998;2;280;6,7
1998;3;267;6,4
1998;4;273;6,6
1998;5;266;6,3
1998;6;302;6,9
1998;7;360;8
1998;8;317;7,3
1998;9;257;6,1
1998;10;239;5,6
1998;11;230;5,4
1998;12;234;5,5
1999;1;260;6,2
1999;2;238;5,6
1999;3;227;5,4
1999;4;225;5,3
1999;5;209;4,9
1999;6;262;5,9
1999;7;293;6,4
1999;8;267;6,1
1999;9;235;5,5
1999;10;223;5,2
1999;11;223;5,2
1999;12;228;5,3
2000;1;244;5,7
2000;2;233;5,4
2000;3;218;5,1
2000;4;202;4,7
2000;5;177;4,1
2000;6;231;5,1
2000;7;235;5,2
2000;8;222;5,1
2000;9;177;4,1
2000;10;173;4
2000;11;170;3,9
2000;12;160;3,7
2001;1;193;4,4
2001;2;183;4,2
2001;3;169;3,9
2001;4;162;3,7
2001;5;154;3,5
2001;6;188;4,2
2001;7;193;4,2
2001;8;191;4,3
2001;9;178;4
2001;10;175;4
2001;11;164;3,7
2001;12;158;3,6
2002;1;194;4,4
2002;2;175;4
2002;3;167;3,8
2002;4;164;3,8
2002;5;147;3,4
2002;6;184;4
2002;7;200;4,3
2002;8;185;4,1
2002;9;187;4,2
2002;10;160;3,7
2002;11;171;3,9
2002;12;181;4,1
